name,type,sedol,bidPrice,askPrice,netIC,netAC
JPM Asia (Inclusive Income),Income,B1XMSK5,143.8,143.8,0,0.9
JPM Asia Pacific Equity (C GBP) (Accumulation),Accumulation,BJRD402,128,128,0,0.9
JPM Asia Pacific Income (A USD) (Inclusive Accumulation),Accumulation,B1FMZN5,1910.48,2016.22,0,1.04
JPM Asia Pacific Income (A USD) (Inclusive Income),Income,7103560,2469.39,2606.14,0,1.04
JPM Brazil Equity (A USD) (Inclusive Accumulation),Accumulation,B28YV04,508.03,535.86,0,1.15
JPM China (A USD) (Inclusive Accumulation),Accumulation,B1FMZD5,3917.95,4135,0,0.99
JPM China (A USD) (Inclusive Income),Income,5224076,6002.54,6334.08,0,0.99
JPM Diversified Growth (Class C) (Accumulation),Accumulation,B7XL365,318.5,318.5,0,0.5
JPM Diversified Growth (Inclusive Accumulation),Accumulation,3183469,306.4,306.4,0,0.497
JPM Emerging Europe Equity (A EUR) (Inclusive Accumulation),Accumulation,B1FMYF0,1244.3,1312.67,0,1.16
JPM Emerging Europe Equity (A EUR) (Inclusive Income),Income,4405366,2382.62,2514.23,0,1.16
JPM Emerging Europe Equity (A USD) (Accumulation),Accumulation,B45TCZ8,6563.05,6925.58,0,1.81
JPM Emerging Europe Equity (A USD) (Income),Income,B5V7NB6,6357.93,6709.33,0,1.81
JPM Emerging Europe Equity (C EUR) (Accumulation),Accumulation,7099788,1352.83,1352.83,0,1.06
JPM Emerging Europe Equity (C USD) (Accumulation),Accumulation,BYV8259,10211.48,10211.48,0,1.06
JPM Emerging Europe Equity (Class B) (Accumulation),Accumulation,B1YXF95,78.78,78.78,0,0.9
JPM Emerging Europe Equity (Class C) (Accumulation),Accumulation,B8DLLD5,165.4,165.4,0,0.9
JPM Emerging Europe Equity (Class C) (Income),Income,B5NK2V6,29.58,29.58,0,0.9
JPM Emerging Europe Equity (Inclusive Accumulation),Accumulation,0165512,155.7,155.7,0,0.9
JPM Emerging Europe Equity (Inclusive Income),Income,B1XMTT1,29.91,29.91,0,0.9
JPM Emerging Europe Middle East & Africa A USD (Inclusive Accumulation),Accumulation,B1FMYG1,,,,
JPM Emerging Europe Middle East & Africa A USD (Inclusive Income),Income,B1FMYH2,,,,
JPM Emerging Europe Middle East & Africa C USD (Accumulation),Accumulation,7099755,,,,
JPM Emerging Markets (Class B) (Accumulation),Accumulation,B1YX4S7,357.1,357.1,0,0.65
JPM Emerging Markets (Class B) (Income),Income,B1YX4W1,155.1,155.1,0,0.65
JPM Emerging Markets (Inclusive Accumulation),Accumulation,3088155,255,255,0,0.9
JPM Emerging Markets Income (Class C) (Accumulation),Accumulation,B5M5KY1,99.86,99.86,0,0.88
JPM Emerging Markets Income (Class C) (Income),Income,B5N1BC3,69.3,69.3,0,0.88
JPM Emerging Markets Income (Inclusive Accumulation),Accumulation,B56DF68,94.04,94.04,0,0.9
JPM Emerging Markets (Inclusive Income),Income,B1XMSZ0,107.9,107.9,0,0.9
JPM Emerging Markets Income (Inclusive Income),Income,B50VRT5,64.97,64.97,0,0.9
JPM Emerging Markets Sustainable Equity (Class C) (Accumulation),Accumulation,BL0DTP3,90.64,90.64,0,0.9
JPM Emerging Markets Sustainable Equity (Class C) (Income),Income,BL0DTN1,90.34,90.34,0,0.9
JPM Emerging Middle East Equity (A USD) (Inclusive Accumulation),Accumulation,B1FMZW4,2503.58,2641.91,0,1.15
JPM Emerging Middle East Equity (A USD) (Inclusive Income),Income,5479661,2778.66,2932.9,0,1.15
JPM Euro Aggregate Bond (A EUR) (Inclusive Income),Income,BCZLVQ4,8558.82,8859.64,0,0.9
JPM Europe (ex-UK) Sustainable Equity (Class C) (Accumulation),Accumulation,B235HP9,238.5,238.5,0,0.65
JPM Europe (ex-UK) Sustainable Equity (Class C) (Income),Income,B235HR1,203.5,203.5,0,0.65
JPM Europe (ex-UK) Sustainable Equity (Inclusive Accumulation),Accumulation,3087914,1730,1730,0,0.65
JPM Europe (ex-UK) Sustainable Equity (Inclusive Income),Income,B1XMTB3,90.21,90.21,0,0.65
JPM Europe Dynamic (A GBP) (Inclusive Income),Income,4721880,2909,3070,0,1.11
